Datum,close_price,open_price,high_price,low_price,rsi,mfi,tv,sma,williams,regrs,cci,is_in_time,time
07.01.2020 14:57:35,1.116000,1.118000,1.118000,1.116000,51.4,57.197730,1.000000,1.115857,-42.857143,0.381681,NaN,1.0,14.0
07.01.2020 16:22:50,1.114000,1.116000,1.116000,1.114000,47.9,57.183087,1.000000,1.116143,-57.142857,0.151773,NaN,1.0,16.0
08.01.2020 12:21:55,1.112000,1.114000,1.114000,1.112000,44.7,57.168451,1.000000,1.116429,-83.333333,0.004380,NaN,1.0,12.0
09.01.2020 10:52:43,1.110000,1.112000,1.112000,1.110000,41.7,50.059722,1.000000,1.116286,-100.000000,0.227569,NaN,1.0,10.0
13.01.2020 17:29:10,1.114000,1.112000,1.114000,1.112000,49.1,50.059722,1.000000,1.116286,-66.666667,0.428431,NaN,0.0,17.0
15.01.2020 15:29:57,1.116000,1.114000,1.116000,1.114000,52.4,50.059722,1.000000,1.116286,-50.000000,0.457969,NaN,1.0,15.0
17.01.2020 11:31:16,1.112000,1.114000,1.114000,1.112000,46.0,42.922978,1.000000,1.115857,-83.333333,0.529824,NaN,1.0,11.0
17.01.2020 14:45:22,1.110000,1.112000,1.112000,1.110000,43.2,35.778328,1.000000,1.115143,-100.000000,0.550027,NaN,1.0,14.0
20.01.2020 15:14:53,1.108000,1.110000,1.110000,1.108000,40.5,28.620262,1.000000,1.114143,-100.000000,0.545406,NaN,1.0,15.0
23.01.2020 15:21:55,1.106000,1.108000,1.108000,1.106000,38.0,28.642292,1.000000,1.113286,-100.000000,0.593257,NaN,1.0,15.0
23.01.2020 17:06:22,1.104000,1.106000,1.106000,1.104000,35.6,28.664356,1.000000,1.112429,-100.000000,0.682438,NaN,0.0,17.0
24.01.2020 17:33:56,1.102000,1.104000,1.104000,1.102000,33.3,28.686453,1.000000,1.111571,-100.000000,0.815822,NaN,0.0,17.0
28.01.2020 15:36:31,1.100000,1.102000,1.102000,1.100000,31.2,21.531470,1.000000,1.110286,-100.000000,0.834483,NaN,1.0,15.0
31.01.2020 13:09:07,1.104000,1.102000,1.104000,1.102000,39.5,21.450644,1.000000,1.109143,-77.777778,0.792775,NaN,1.0,13.0
31.01.2020 15:42:00,1.106000,1.104000,1.106000,1.104000,43.2,28.587381,1.000000,1.108429,-62.500000,0.697413,NaN,1.0,15.0
31.01.2020 16:59:14,1.108000,1.106000,1.108000,1.106000,46.8,35.738226,1.000000,1.108000,-50.000000,0.531491,NaN,1.0,16.0
03.02.2020 16:00:00,1.104000,1.106000,1.106000,1.104000,41.3,35.756664,1.000000,1.107429,-75.000000,0.517076,NaN,1.0,16.0
05.02.2020 11:48:02,1.102000,1.104000,1.104000,1.102000,38.8,35.775120,1.000000,1.106857,-87.500000,0.574918,NaN,1.0,11.0
05.02.2020 15:44:20,1.100000,1.102000,1.102000,1.100000,36.5,28.615093,1.000000,1.105857,-100.000000,0.557497,NaN,1.0,15.0
06.02.2020 16:27:10,1.098000,1.100000,1.100000,1.098000,34.2,21.435959,1.000000,1.104571,-100.000000,0.545613,NaN,1.0,16.0
07.02.2020 09:59:29,1.096000,1.098000,1.098000,1.096000,32.1,21.458154,1.000000,1.103429,-100.000000,0.545613,NaN,1.0,9.0
10.02.2020 14:52:14,1.094000,1.096000,1.096000,1.094000,30.1,21.480394,1.000000,1.102286,-100.000000,0.557159,NaN,1.0,14.0
10.02.2020 16:58:07,1.092000,1.094000,1.094000,1.092000,28.2,21.502680,1.000000,1.101143,-100.000000,0.586711,NaN,1.0,16.0
11.02.2020 14:14:32,1.090000,1.092000,1.092000,1.090000,26.4,21.525013,1.000000,1.100000,-100.000000,0.640122,NaN,1.0,14.0
12.02.2020 18:14:51,1.088000,1.090000,1.090000,1.088000,24.8,21.547392,1.000000,1.098857,-100.000000,0.719674,NaN,0.0,18.0
13.02.2020 12:58:01,1.086000,1.088000,1.088000,1.086000,23.2,21.569818,1.000000,1.097714,-100.000000,0.825434,NaN,1.0,12.0
13.02.2020 16:20:38,1.084000,1.086000,1.086000,1.084000,21.7,21.592290,1.000000,1.096571,-100.000000,0.956771,NaN,1.0,16.0
18.02.2020 13:23:55,1.082000,1.084000,1.084000,1.082000,20.2,14.427298,1.000000,1.095000,-100.000000,0.991228,NaN,1.0,13.0
